codice,comune
90001,aggius
104001,aggius
90062,aglientu
104002,aglientu
15003,agrate brianza
108001,agrate brianza
15004,aicurzio
108002,aicurzio
15006,albiate
108003,albiate
44003,altidona
109001,altidona
44004,amandola
109002,amandola
72005,andria
110001,andria
21002,andria
92001,arbus
106001,arbus
15008,arcore
108004,arcore
90006,arzachena
104004,arzachena
91002,arzana
105001,arzana
90081,badesi
104005,badesi
91005,bari sardo
105002,bari sardo
15013,barlassina
108005,barlassina
72007,barletta
110002,barletta
92006,barumini
106002,barumini
91006,baunei
105003,baunei
15017,bellusco
108006,bellusco
44008,belmonte piceno
109003,belmonte piceno
90009,berchidda
104006,berchidda
15018,bernareggio
108007,bernareggio
15021,besana in brianza
108008,besana in brianza
15023,biassono
108009,biassono
72009,bisceglie
110003,bisceglie
90014,bortigiadas
104007,bortigiadas
15030,bovisio-masciago
108010,bovisio-masciago
15033,briosco
108011,briosco
15034,brugherio
108012,brugherio
91014,budoni
104009,budoni
92007,buggerru
107001,buggerru
15037,burago di molgora
108013,burago di molgora
90021,calangianus
104010,calangianus
92010,calasetta
107002,calasetta
15045,camparada
108045,camparada
44009,campofilone
109004,campofilone
72013,canosa di puglia
110004,canosa di puglia
15048,carate brianza
108014,carate brianza
92012,carbonia
107003,carbonia
91103,cardedu
105004,cardedu
92013,carloforte
107004,carloforte
15049,carnate
108046,carnate
15068,cavenago di brianza
108015,cavenago di brianza
15069,ceriano laghetto
108016,ceriano laghetto
15075,cesano maderno
108017,cesano maderno
15080,cogliate
108047,cogliate
92014,collinas
106003,collinas
15084,concorezzo
108018,concorezzo
15092,correzzana
108019,correzzana
15100,desio
108020,desio
92019,domusnovas
107005,domusnovas
91019,elini
105005,elini
44018,falerone
109005,falerone
44019,fermo
109006,fermo
92021,fluminimaggiore
107006,fluminimaggiore
44022,francavilla d'ete
109007,francavilla d'ete
92022,furtei
106004,furtei
91026,gairo
105006,gairo
92023,genuri
106005,genuri
92025,gesturi
106006,gesturi
92026,giba
107007,giba
91031,girasole
105007,girasole
15107,giussano
108021,giussano
90083,golfo aranci
104011,golfo aranci
92028,gonnesa
107008,gonnesa
92029,gonnosfanadiga
106007,gonnosfanadiga
44024,grottazzolina
109008,grottazzolina
92032,guspini
106008,guspini
92033,iglesias
107009,iglesias
91032,ilbono
105008,ilbono
91035,jerzu
105009,jerzu
90035,la maddalena
104012,la maddalena
91037,lanusei
105010,lanusei
44025,lapedona
109009,lapedona
92034,las plassas
106009,las plassas
15117,lazzate
108022,lazzate
15120,lesmo
108048,lesmo
15121,limbiate
108023,limbiate
15123,lissone
108049,lissone
91039,loceri
105011,loceri
90084,loiri porto san paolo
104013,loiri porto san paolo
91042,lotzorai
105012,lotzorai
92035,lunamatrona
106010,lunamatrona
90036,luogosanto
104014,luogosanto
90037,luras
104015,luras
15129,macherio
108024,macherio
44026,magliano di tenna
109010,magliano di tenna
71030,margherita di savoia
110005,margherita di savoia
92103,masainas
107010,masainas
44028,massa fermana
109011,massa fermana
15138,meda
108050,meda
15145,mezzago
108025,mezzago
72026,minervino murge
110006,minervino murge
15147,misinto
108026,misinto
44030,monsampietro morico
109012,monsampietro morico
44033,montappone
109013,montappone
44039,monte giberto
109014,monte giberto
44046,monte rinaldo
109015,monte rinaldo
44048,monte san pietrangeli
109016,monte san pietrangeli
44049,monte urano
109017,monte urano
44050,monte vidon combatte
109018,monte vidon combatte
44051,monte vidon corrado
109019,monte vidon corrado
44035,montefalcone appennino
109020,montefalcone appennino
44037,montefortino
109021,montefortino
44040,montegiorgio
109022,montegiorgio
44041,montegranaro
109023,montegranaro
44042,monteleone di fermo
109024,monteleone di fermo
44043,montelparo
109025,montelparo
44047,monterubbiano
109026,monterubbiano
90041,monti
104016,monti
40028,monti
17112,monti
33027,monti
18099,monti
97054,monti
24067,monti
4142,monti
17113,monti
52018,monti
53017,monti
5078,monti
45011,monti
17114,monti
44052,montottone
109027,montottone
15149,monza
108027,monza
20036,monza
44053,moresco
109028,moresco
92040,musei
107011,musei
92041,narcao
107012,narcao
15156,nova milanese
108029,nova milanese
92043,nuxis
107013,nuxis
90047,olbia
104017,olbia
15161,ornago
108030,ornago
44055,ortezzano
109029,ortezzano
90049,oschiri
104018,oschiri
91069,osini
105013,osini
92045,pabillonis
106011,pabillonis
90054,palau
104020,palau
92046,pauli arbarei
106012,pauli arbarei
44057,pedaso
109030,pedaso
91072,perdasdefogu
105014,perdasdefogu
92047,perdaxius
107014,perdaxius
44058,petritoli
109031,petritoli
92107,piscinas
107015,piscinas
44059,ponzano di fermo
109032,ponzano di fermo
44060,porto san giorgio
109033,porto san giorgio
44061,porto sant'elpidio
109034,porto sant'elpidio
92049,portoscuso
107016,portoscuso
44062,rapagnano
109035,rapagnano
15180,renate
108031,renate
15187,ronco briantino
108032,ronco briantino
92052,samassi
106013,samassi
71045,san ferdinando di puglia
110007,san ferdinando di puglia
92055,san gavino monreale
106014,san gavino monreale
92056,san giovanni suergiu
107017,san giovanni suergiu
83090,san teodoro
104023,san teodoro
91076,san teodoro
92057,sanluri
106015,sanluri
92062,sant'anna arresi
107019,sant'anna arresi
92063,sant'antioco
107020,sant'antioco
90085,sant'antonio di gallura
104021,sant'antonio di gallura
44068,sant'elpidio a mare
109037,sant'elpidio a mare
90063,santa teresa gallura
104022,santa teresa gallura
44067,santa vittoria in matenano
109036,santa vittoria in matenano
92060,santadi
107018,santadi
92065,sardara
106016,sardara
92067,segariu
106017,segariu
15208,seregno
108033,seregno
92072,serramanna
106018,serramanna
92073,serrenti
106019,serrenti
44069,servigliano
109038,servigliano
92076,setzu
106020,setzu
91081,seui
105015,seui
15212,seveso
108034,seveso
92077,siddi
106021,siddi
44070,smerillo
109039,smerillo
15216,sovico
108035,sovico
72042,spinazzola
110008,spinazzola
15217,sulbiate
108036,sulbiate
91088,talana
105016,talana
90080,telti
104024,telti
90070,tempio pausania
104025,tempio pausania
91089,tertenia
105017,tertenia
44072,torre san patrizio
109040,torre san patrizio
72045,trani
110009,trani
92085,tratalias
107021,tratalias
91097,triei
105019,triei
71057,trinitapoli
110010,trinitapoli
15223,triuggio
108037,triuggio
92086,tuili
106022,tuili
92087,turri
106023,turri
31024,turri
68044,turri
91098,ulassai
105020,ulassai
91099,urzulei
105021,urzulei
15227,usmate velate
108038,usmate velate
92089,ussaramanna
106024,ussaramanna
91100,ussassai
105022,ussassai
15231,varedo
108039,varedo
15232,vedano al lambro
108040,vedano al lambro
15233,veduggio con colzano
108041,veduggio con colzano
15234,verano brianza
108042,verano brianza
92092,villacidro
106025,villacidro
91101,villagrande strisaili
105023,villagrande strisaili
92093,villamar
106026,villamar
29049,villamar
92094,villamassargia
107022,villamassargia
92095,villanovaforru
106027,villanovaforru
92096,villanovafranca
106028,villanovafranca
92104,villaperuccio
107023,villaperuccio
15239,villasanta
108043,villasanta
15241,vimercate
108044,vimercate
